titulo,link,modelo,marca,tarjeta_de_video,procesador_de_video,ram,cant_entrada_usb,hdmi,pantalla,tipo_disco,disco_duro,disco_solido,camara,tipo_de_pantalla,sistema_operativo,alto_cm,ancho_cm,profundidad_cm
LAptop Lenovo Ideapad S145-14IIL Sin Sistema Operativo - LAPTOP LENOVO IDEAPAD S145-14IIL -,https://www.plazavea.com.pe/laptop-lenovo-ideapad-s145-14iil-sin-sistema-operativo-100181160/p,Ideapad S145-14IIL,,,Intel Core i3 10ma generación,8GB,,1,14 Pulgadas,,1TB,,Sí,,,2,33,12
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 8GB RAM, 256GB SSD+HDD 1TB, Linux",https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-8gb-ram-256gb-ssd-hdd-1tb-linux-100154698/p,Vostro 3405,,,AMD Ryzen 5 (3000 series),8GB,,,,,,256GB,,,Linux,,,
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 16GB RAM, 256GB SSD, FreeDOS, Garantía 1 año",https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-16gb-ram-256gb-ssd-freedos-garantia-1-ano-100154691/p,14-CF2519LA,,,Intel Core i3 10ma generación,16GB,,,,,,256GB,,,FreeDOS,,,
"Notebook Dell Vostro 14 3400, 14"" Hd, Core I5-1135G7 de Hasta 4.2ghz, 4GB Ddr4, 1tb Sata",https://www.plazavea.com.pe/notebook-dell-vostro-14-3400-14-hd-core-i5-1135g7-de-hasta-4-2ghz-4gb-ddr4-1tb-sata-100158511/p,VOSTRO 14 3400,,,,4GB,,,,,,,,,,24,1,32
,https://www.plazavea.com.pe/laptop-asus-14--hd-m08470-intel-celeron-n4000-4gb-ram-64gb-ssd-w10-reacondicionado-100154148/p,,,,,,,,,,,,,,,,,
Mesa Ergonómica iDock Multifuncional con Cooler para Laptops,https://www.plazavea.com.pe/mesa-ergonomica-idock-multifuncional-con-cooler-para-laptops-100154986/p,Mesa Ergonómica Multifuncional,,,,,,,,,,,,,,,,
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 8GB RAM, 256GB SSD, FreeDOS, Garantía 1 año",https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-8gb-ram-256gb-ssd-freedos-garantia-1-ano-100154694/p,14-CF2519LA,,,Intel Core i3 10ma generación,8GB,,,,,,256GB,,,FreeDOS,,,
Laptop Chuwi  Herobook Pro 14.1 + Funda,https://www.plazavea.com.pe/laptop-chuwi-herobook-pro-14-1-funda-100163056/p,Herobook Pro 14.1,,,Intel Celeron,8GB,,,,,,256 GB SSD M.2 SATA.,,,Windows 10,5.4,38,33
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 16GB RAM, 256GB SSD+HDD 1TB, Linux",https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-16gb-ram-256gb-ssd-hdd-1tb-linux-100154690/p,Vostro 3405,,,AMD Ryzen 5 (3000 series),16GB,,,,,,256GB,,,Linux,,,
,https://www.plazavea.com.pe/notebook-dell-vostro-3400-445cx-14-hd-core-i5-1135g7-4gb-ddr4-1tb-100154083/p,,,,,,,,,,,,,,,,,
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 16GB RAM, 256GB SSD, Linux",https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-16gb-ram-256gb-ssd-linux-100154689/p,Vostro 3405,,,AMD Ryzen 5 (3000 series),16GB,,,,,,256GB,,,Linux,,,
,https://www.plazavea.com.pe/laptop-dell-latitude-3410-core-i7-10510u-8gb-256gb-ssd-14-fhd-100152054/p,,,,,,,,,,,,,,,,,
"Laptop Lenovo 14"" 81VU000JUS Intel N5030 4GB 128GB SSD W10",https://www.plazavea.com.pe/laptop-lenovo-14-81vu000jus-intel-n5030-4gb-128gb-ssd-w10-100154146/p,81VU000JUS,,,Intel Pentium,4GB,,,,,,128GB,,,Windows 10,"1,7","32,7","23,5"
"REACONDICIONADO Laptop HP 14-dq1025nr 14"" HD Intel Core i3 4GB RAM 128GB SSD",https://www.plazavea.com.pe/laptop-hp-14-dq1025nr-14--hd-intel-core-i3-4gb-ram-128gb-ssd-reacondicionado-100154134/p,FRB-HPP-21B12UAR#ABA,,Intel,Intel Core i3 10ma generación,4GB,,,,,,128GB,,,Windows 10,32,2,23
