Titulo,Link,precio_normal,precio_online,precio_tarjeta_oh,disponible,marca,link_imagen,tarjeta,sku,teclado_iluminado,lector_de_huella,camara_web,conectividad,bluetooh,disco_duro,cantidad_entrada_hdmi,cantidad_entrada_usb,garantia,ram,modelo,procesador,velocidad_del_procesador,resolucion_pantalla,sistema_operativo,tamaño_de_pantalla,tarjeta_de_video,tipo_de_pantalla,pantalla_touch,bateria,duracion_bateria,tipo_producto,parlantes,largo_cm,ancho_cm,espesor_cm,peso_kg,disponibilidad
Laptop Gamer ASUS ROG Flow X13 GV301QH 13.4'' Ryzen 9-5980HS 16GB RAM 1TB SSD 16GB Video RTX3080,https://www.oechsle.pe/laptop-gamer-asus-rog-flow-x13-gv301qh-13-4---ryzen-9-5980hs-16gb-ram-1tb-ssd-16gb-video-rtx3080/p,"S/. 13,699.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Gamer ASUS ROG M16 GU603ZE 16"" i7-12700H 512GB SSD 16GB RAM 4GB RTX3050Ti",https://www.oechsle.pe/laptop-gamer-asus-rog-m16-gu603ze-16-i7-12700h-512gb-ssd-16gb-ram-4gb-rtx3050ti-2070371/p,"S/. 9,699.00","S/. 8,999.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,Sí,2070371,Sí,No,Sí,Wi-Fi 6E(802.11ax),Sí,512 GB SSD,1,4,24 meses,16GB,GU603ZE-LS020W,Core i7,2.3 GHz,WUXGA (1920 x 1200) 16:10,Windows 11,"16""",,WUXGA,No,"90WHrs, 4S1P, 4-cell Li-ion","90WHrs, 4S1P, 4-cell Li-ion",Laptop Gamer,Incorporados,24.3 cm,35.5 cm,1.99 cm,2 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop IdeaPad 1i 14"" FHD  Intel Celeron 4GB RAM 128GB SSD",https://www.oechsle.pe/laptop-ideapad-1i-14-fhd-intel-celeron-4gb-ram-128gb-ssd-1877177/p,"S/. 2,329.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop IdeaPad 3i  14"" FHD Intel Pentium Silver N5030 8GB RAM  256GB SSD",https://www.oechsle.pe/laptop-ideapad-3i-14-fhd-intel-pentium-silver-n5030-8gb-ram-256gb-ssd-1953564/p,"S/. 2,599.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop IdeaPad 5i 14"" FHD Intel Core i7 16GB RAM 512GB SSD",https://www.oechsle.pe/laptop-ideapad-5i-14-fhd-intel-core-i7-16gb-ram-512gb-ssd-1877173/p,"S/. 4,699.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Acer Aspire 3 15.6"" Core i3 1005G1 4GB RAM 256GB SSD",https://www.oechsle.pe/laptop-acer-aspire-3-15-6-core-i3-1005g1-4gb-ram-256gb-ssd-1788658/p,"S/. 2,499.00","S/. 1,599.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ACER,,No,1788658,No,No,Si,WIFI,Sí,256GB SSD,1,3,1 año,4GB DDR4,A315-56-364D,Intel Core i3 1005G1,1.2 GHz,1920 x 1080,Windows 10 Home,"15.6""",,FHD LED IPS 144HZ,No,Ion litio,Hasta 8 horas,NOTEBOOK,Incorporados,24.7 cm,36.3 cm,1.9 cm,1.9 kg,· Puedes comprar un máximo de 10 unidades.
Laptop ASUS Zenbook 13 OLED UX325EA 13.3'' Intel Core i5-1135G7 8GB RAM 512SSD,https://www.oechsle.pe/laptop-asus-zenbook-13-oled-ux325ea-13-3---intel-core-i5-1135g7-8gb-ram-512ssd/p,"S/. 4,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Acer Aspire 5 15.6"" Intel Core i3 10110U 8GB RAM 256GB SSD",https://www.oechsle.pe/laptop-acer-aspire-5-15-6-intel-core-i3-10110u-8gb-ram-256gb-ssd-1993598/p,"S/. 2,649.00","S/. 1,749.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ACER,,No,1993598,No,No,Si,Wi-fi 6,Sí,256GB SSD,1,4,1 año,8GB DDR4,A515-54-35L2,Intel Core i3 10110U,2.1 GHz,1366 x 768,Windows 10,"15.6""",,LED,No,Ion litio,Hasta 8 horas,Laptop,Incorporados,25.05 cm,36.34 cm,1.79 cm,1.9 kg,· Puedes comprar un máximo de 10 unidades.
"Laptop Lenovo Ideapad D330 10.1"" HD Intel Celeron 4GB RAM 64GB eMMC",https://www.oechsle.pe/laptop-lenovo-ideapad-d330-10-1-hd-intel-celeron-4gb-ram-64gb-emmc-2013697/p,"S/. 2,199.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Zenbook 13 OLED UX325EA 13.3'' Ci7-1165G7 16GB RAM 512SSD,https://www.oechsle.pe/laptop-asus-zenbook-13-oled-ux325ea-13-3-ci7-1165g7-16gb-ram-512ssd-2061390/p,"S/. 6,299.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
