Titulo,Link,Precio,Estado,Puntuacion,Ubicacion,Marca,Modelo,Capacidad,Condicion,disponibilidad,oferta,Comentarios,modelo_linea,ram,almacenamiento,sistema_operativo
"Notebook Lenovo V14 Iil, 14  Hd, Core I5-1035g1 ",https://articulo.mercadolibre.com.pe/MPE-603561605-notebook-lenovo-v14-iil-14-hd-core-i5-1035g1-_JM,3199.0,Nuevo,,"Arequipa, Arequipa",Lenovo,V14-IIL,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.","8 GB,14 "",5.5 h,HD,No,Nadie ha hecho preguntas todavía. ,#603561605",,{},LAPTOP,8 GB,1366 px x 768 px,Intel UHD Graphics
Laptop Hp 14-dk1025 Ryzen 3 4ta 4gb 1tb Nuevo,https://articulo.mercadolibre.com.pe/MPE-611375283-laptop-hp-14-dk1025-ryzen-3-4ta-4gb-1tb-nuevo-_JM,1489.0,Nuevo,,"Cajatambo, Lima Provincias",HP,,4 GB,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","4 GB,Nadie ha hecho preguntas todavía. ,#611375283",,{},,4 GB,Windows,Intel
"Laptop Lenovo 14iml05, I3, 8gb, 512gb Ssd, 14 Hd, Win10",https://articulo.mercadolibre.com.pe/MPE-611438608-laptop-lenovo-14iml05-i3-8gb-512gb-ssd-14-hd-win10-_JM,1905.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,14IML05,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","8 GB,8 h,14 "",Nadie ha hecho preguntas todavía. ,#611438608",,{},14IML05,8 GB,512 GB,Windows
"Laptop Asus X415ja-eb1817w, I3, 4gb, 128gb Ssd, 14 Fhd",https://articulo.mercadolibre.com.pe/MPE-611026110-laptop-asus-x415ja-eb1817w-i3-4gb-128gb-ssd-14-fhd-_JM,1735.0,Nuevo,,"Lima, Lima Metropolitana",Asus,,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","4 GB,14 "",Nadie ha hecho preguntas todavía. ,#611026110",,{},X415JA-EB1817W,4 GB,1920 px x 1080 px,Intel UHD Graphics
Laptop Gaming Hp Omen 0503 16.1 Fhd R7 16gb 512ssd V8gb W10,https://articulo.mercadolibre.com.pe/MPE-611009807-laptop-gaming-hp-omen-0503-161-fhd-r7-16gb-512ssd-v8gb-w10-_JM,7069.0,Nuevo,,"Lima, Lima Metropolitana",HP,0503la,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,16.1 "",Nadie ha hecho preguntas todavía. ,#611009807",,{},Omen,16 GB,AMD Radeon RX 6600M,144 Hz
Laptop Gamer Hp 1038 15.6 144hz Ryzen 7 8g 512ssd V4g 1650ti,https://articulo.mercadolibre.com.pe/MPE-610489654-laptop-gamer-hp-1038-156-144hz-ryzen-7-8g-512ssd-v4g-1650ti-_JM,4699.0,Nuevo,,"Lima, Lima Metropolitana",HP,1038,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#610489654",,{},Pavilion Gaming,8 GB,NVIDIA GeForce GTX 1650Ti,144 Hz
Laptop Hp 2050 15.6' I3 11va 16gb 256ssd 16gb Optane W10 ,https://articulo.mercadolibre.com.pe/MPE-610184319-laptop-hp-2050-156-i3-11va-16gb-256ssd-16gb-optane-w10-_JM,2299.0,Nuevo,,"Lima, Lima Metropolitana",HP,2050,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#610184319",,{},HP,16 GB,60 Hz,Intel UHD Graphics
Laptop Hp 1038 15.6' R7 4800h 16gb 512 Ssd V4gb 1650ti 144hz,https://articulo.mercadolibre.com.pe/MPE-610618575-laptop-hp-1038-156-r7-4800h-16gb-512-ssd-v4gb-1650ti-144hz-_JM,4959.0,Nuevo,,"Lima, Lima Metropolitana",HP,1038,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#610618575",,{},Pavilion Gaming,16 GB,144 Hz,NVIDIA GeForce GTX 1650Ti
Laptop Hp 2057 15.6' I7 8gb 512gb Ssd 32gb Optane L. Huella ,https://articulo.mercadolibre.com.pe/MPE-610114702-laptop-hp-2057-156-i7-8gb-512gb-ssd-32gb-optane-l-huella-_JM,4399.0,Nuevo,,"Lima, Lima Metropolitana",HP,2057,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Sí,Nadie ha hecho preguntas todavía. ,#610114702",,{},hp,8 GB,60 Hz,Intel Iris Xe Graphics
Laptop Dell Latitude 3420 14' Hd I3 10ma 4gb 1tb 120gb Ssd,https://articulo.mercadolibre.com.pe/MPE-606992525-laptop-dell-latitude-3420-14-hd-i3-10ma-4gb-1tb-120gb-ssd-_JM,2799.0,Nuevo,,"Lima, Lima Metropolitana",Dell,3420,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,4 GB,No,14 "",Nadie ha hecho preguntas todavía. ,#606992525",,{},Latitude,4 GB,1 TB,Linux
Laptop Hp 2050 15.6' I3 11va 8gb 256ssd 16gb Optane W10 ,https://articulo.mercadolibre.com.pe/MPE-610044860-laptop-hp-2050-156-i3-11va-8gb-256ssd-16gb-optane-w10-_JM,2059.0,Nuevo,,"Lima, Lima Metropolitana",HP,2050,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#610044860",,{},HP,8 GB,60 Hz,Intel UHD Graphics
Laptop Asus M433 Ryzen 5 5ta 8gb 512gb Nuevo,https://articulo.mercadolibre.com.pe/MPE-611394894-laptop-asus-m433-ryzen-5-5ta-8gb-512gb-nuevo-_JM,2689.0,Nuevo,,"Cajatambo, Lima Provincias",Asus,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","8 GB,#611394894",,"{'0': 'Amd o intel, teclado en español ?'}",,8 GB,Intel,Windows
Laptop Hp 2056 15.6' I5 32gb 512gb Ssd 32gb Optane L Huella ,https://articulo.mercadolibre.com.pe/MPE-609809873-laptop-hp-2056-156-i5-32gb-512gb-ssd-32gb-optane-l-huella-_JM,3499.0,Nuevo,,"Lima, Lima Metropolitana",HP,2056,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,32 GB,No,15.6 "",Sí,Nadie ha hecho preguntas todavía. ,#609809873",,{},hp,32 GB,512 GB,Windows
Laptop Hp 1020 15.6' Hd Ryzen 7 4700u Ram 16gb 512gb Ssd W10,https://articulo.mercadolibre.com.pe/MPE-445610247-laptop-hp-1020-156-hd-ryzen-7-4700u-ram-16gb-512gb-ssd-w10-_JM,4299.0,Nuevo,,"Lima, Lima Metropolitana",HP,1020,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,16 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#445610247",,{},HP,16 GB,60 Hz,AMD Radeon Graphics
 Laptop Hp Pavilion 0022la 15.6' Hd R5 8gb 512ssd 6 Nucleos,https://articulo.mercadolibre.com.pe/MPE-611088506-laptop-hp-pavilion-0022la-156-hd-r5-8gb-512ssd-6-nucleos-_JM,3119.0,Nuevo,,"Lima, Lima Metropolitana",HP,0022LA,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,15.6 "",Nadie ha hecho preguntas todavía. ,#611088506",,{},Pavilion,8 GB,1366 x 768,RADEON VEGA GRAPHICS
"Laptop Dell Inspiron 15 3501, I3, 4gb, 1tb Hdd, 15.6 Hd",https://articulo.mercadolibre.com.pe/MPE-609410804-laptop-dell-inspiron-15-3501-i3-4gb-1tb-hdd-156-hd-_JM,2405.0,Nuevo,,"Lima, Lima Metropolitana",Dell,INSPIRON 3501,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","4 GB,15.6 "",HD,No,Nadie ha hecho preguntas todavía. ,#609410804",,{},Inspiron,4 GB,Intel UHD Graphics,60 Hz
"Laptop Dell Inspiron 13 5310, I5, 8gb, 256gb Ssd, 13.3 Fhd",https://articulo.mercadolibre.com.pe/MPE-609412311-laptop-dell-inspiron-13-5310-i5-8gb-256gb-ssd-133-fhd-_JM,4460.0,Nuevo,,"Lima, Lima Metropolitana",Dell,,LPDDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","8 GB,13.3 "",Nadie ha hecho preguntas todavía. ,#609412311",,{},INSPIRON 13 5310,8 GB,1920 px x 1080 px,Intel Iris Xe Graphics
"Notebook Dell Vostro 14 3400, 14 Hd, Core I5-1135g7 ",https://articulo.mercadolibre.com.pe/MPE-604673056-notebook-dell-vostro-14-3400-14-hd-core-i5-1135g7-_JM,2790.0,Nuevo,,"Arequipa, Arequipa",Dell,3400,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.","4 GB,No,14 "",Nadie ha hecho preguntas todavía. ,#604673056",,{},Vostro,4 GB,1366 X 768,Intel
Laptop Lenovo Ips340 15.6' Fhd I7 12gb 1tb + 120ssd Ilumin.,https://articulo.mercadolibre.com.pe/MPE-445721947-laptop-lenovo-ips340-156-fhd-i7-12gb-1tb-120ssd-ilumin-_JM,4299.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,IPS340,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,12 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#445721947",,{},IdeaPad,12 GB,1 TB,Windows
Laptop Hp 1038 15.6' R7 4800h 8gb 512ssd V4gb 1650ti 144hz W,https://articulo.mercadolibre.com.pe/MPE-610489624-laptop-hp-1038-156-r7-4800h-8gb-512ssd-v4gb-1650ti-144hz-w-_JM,4699.0,Nuevo,,"Lima, Lima Metropolitana",HP,1038,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#610489624",,{},Pavilion Gaming,8 GB,NVIDIA GeForce GTX 1650Ti,144 Hz
2 X Micas Protector Pantalla Macbook Air 13.3 2019 2020 Wiwu,https://articulo.mercadolibre.com.pe/MPE-447557477-2-x-micas-protector-pantalla-macbook-air-133-2019-2020-wiwu-_JM,56.99,Nuevo,,"Lince, Lima Metropolitana",,,,"Envío a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#447557477,"5,% OFF","{'0': 'Buenos días, tienen mica protectora para MacBook Pro Retina 13"" 2019 y Ipad Air 4 2020?', '1': 'Buenas noches, sólo realizo el pago, y luego cómo coordino el envío? Es para una MacBook Air A2337.', '2': 'Mate para pantalla 13.3”', '3': 'Buenas para M1 donde lo instalan el protector', '4': 'Buenas tardes habrá llegado el protector de pantalla para MacBook Air 13 pulgadas 2020 chip m1?', '5': 'Me podría pasar dirección exacta de la tienda física gracias', '6': 'Tiene para una laptop dell de 15.6 pulgadas.? Costo del delivery. Gracias', '7': 'Buenas noches, disculpe si le compro un case y además la mica, podría haber algún tipo de descuento? Y también me interesa saber si tiene protector de teclado del MacBook Air 13 pulgadas y en cuanto tiempo se podría recoger de tienda física. Muchas gracias', '8': 'Buenas noches, Tiene stock para MacBook Air 13 Model No. A2337. Año 2020 ??', '9': 'Hola, tendrás stock la mica para la ""Macbook air m1 ""'}",,,,
Case Disco Duro Externo Sata 2.5  2.0 Laptop Pc Portatil Usb,https://articulo.mercadolibre.com.pe/MPE-429406894-case-disco-duro-externo-sata-25-20-laptop-pc-portatil-usb-_JM,18.99,Nuevo,4.9,"Santiago De Surco, Lima Metropolitana",,,,"Llega ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,#429406894","5,% OFF","{'0': 'Buenos dias, estoy interesado en comprarle este case, tambien el caddy 12.7 y un cable hdmi de 3 metros, queria saber si podia enviarme todo en un solo envio, gracias', '1': 'Sr. Buenas Tardes, si tiene del producto por favor responder para comprarlo inmediatamente. vivo en Miraflores , Lima cuadra 2 Venavides', '2': 'Se puede retirar en persona?, vivo por parque la amistad', '3': 'Buen día, cual es el precio de envío, a la provincia de Moyobamba', '4': 'Hola tienen en stock para entrega hoy mismo envio para el callao? Av. Guardia Chalaca 1131 - Callao Cuanto sería con envío?', '5': 'Envío a provincia Huaraz Cuánto?', '6': 'Hola, 3 por Shalom... puedes?', '7': 'envio por cavassa a ancash', '8': 'Entregas factura? No entiendo el por qué de la explicación de la forma de pago.', '9': 'Entregas factura?'}",,,,
Disco Solido Kingston A400 Ssd 480gb Sata 2.5 6gbps Nuevo,https://articulo.mercadolibre.com.pe/MPE-446636226-disco-solido-kingston-a400-ssd-480gb-sata-25-6gbps-nuevo-_JM,240.0,Nuevo,4.9,"Lince, Lima Metropolitana",Kingston,SA400S37/480G,SSD,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,480 GB,2.5 "",PC,Notebook,SSD,SATA III,#446636226",,"{'0': 'Es compatible con una pc slim? Tengo la hp prodesk 600 g1 sff', '1': 'Hola, tienes stock? envio a provincia?', '2': 'cuanto seria el envio con Olva a Arequipa?', '3': 'El envio a Arequipa en gratis? En cuantos dias lo entregan? Gracias', '4': 'Realizan envíos para chincha', '5': 'El envío del producto me dice que es gratis para el día de mañana verdad ??', '6': 'Buenas tardes tienes el producto todavía ??'}",A400,480 GB,SATA III,Sí
Conversor De Imagen  Usb 3.0  A Hdmi,https://articulo.mercadolibre.com.pe/MPE-443125867-conversor-de-imagen-usb-30-a-hdmi-_JM,52.15,Nuevo,,"Lima, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,#443125867","5,% OFF","{'0': 'Buenos días. Tienen disponible stocks para envío a la provincia de barranca. Gracias', '1': 'hola entrega factura, costo de envio a surco, si lo compro ahora podria llegar mañana?', '2': 'Buenas tardes, ya compre el adaptador pero como consigo el link de descarga del driver?', '3': 'Es necesario instalar el disco?', '4': 'Mi usb es antiguo 2.0, habría algún problema????', '5': 'Algo más es de mi. Pc a mi tv', '6': 'Buenas y cómo es la forma de envío o recojo del cable', '7': 'Buenos días. Quisiera conectarlo a la entrada USB de mi TV y la entrada HDMI a la conexión de mi PS3. Funcionará correctamente? Gracias.', '8': 'Buenos días este adaptador me permite habilitar una tercera pantalla a mi laptop, actualmente trabajo con 2 y quisiera habilitar una tercera.', '9': 'hola, necesito extender mi escritorio de la laptop en otra pantalla, utilizando el conecgtor USB, me sirve para este caso??'}",,,,
Bateria Hp 240 G6/ Hp 250 G6/ Hp 255 G6 Jc03  Jc04 100%nuevo,https://articulo.mercadolibre.com.pe/MPE-437844421-bateria-hp-240-g6-hp-250-g6-hp-255-g6-jc03-jc04-100nuevo-_JM,130.0,Nuevo,5.0,"Lima, Lima Metropolitana",,,,"Entrega a acordar con el vendedor,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.",#437844421,,"{'0': 'hp 245 g5 modelo RTL8723BE (TENDRA', '1': 'Podría enviarme a Cerro de Pasco, por medio de Olva Courrier o SHALOM?', '2': 'buen día, tienes stock para el modelo HP 250 G5 y cuanto es el precio', '3': 'No le entiendo nada . Le pregunté x un repuesto y me sale con eso .', '4': 'Tenga pantalla para mi laptop hp 14-r003la. A como el precio ? Nueva ?', '5': 'Es original o compatible?', '6': 'Sirve para la HP 15 bw009la ?? Hay descuento para provincia?', '7': 'Buenas tardes si tiene en stock esa batería jc04 hp, y cuanto es el envío a piura??', '8': 'Envío a provincia', '9': 'Necesito bateria hp 919700-850. Cuanto es el envio a domicilio en Talara?'}",,,,
Samsung 1tb 980 Pcie 3.0 X4 M.2 Ssd Interno 2021,https://articulo.mercadolibre.com.pe/MPE-447941019-samsung-1tb-980-pcie-30-x4-m2-ssd-interno-2021-_JM,648.81,Nuevo,5.0,"Los Olivos, Lima Metropolitana",Samsung,MZ-V8V1TOBW,SSD,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","mañana,1 TB,M.2 2280,PC,Notebook,SSD,NVMe 1.4,PCIe Gen3x4,#447941019","11,% OFF","{'0': 'Buenas noches amigo, ¿aun tiene stock? y precio de envió a Chepén, La Libertad', '1': 'Hola, es compatible con la Huawei matebook d14? Viene con un m.2 de 512 pero ya se llenó y quiero reemplazarlo. Gracias', '2': 'es compatible con la Placa Asus B550-f?', '3': 'Hola, es compatible con la placa madre Gigabyte GA-A320M-S2H? Quiero uno para mi computadora', '4': 'Compatible con ps5?', '5': 'El envío por mercado envíos es por olva courier?', '6': 'Hola está disponbile? y hace envios a pronvicia?', '7': 'Tendrás de casualidad adicionalmente el tornillito que se usa para asegurar la SSD? Mi laptop no trae y no encuentro por mi zona :/', '8': 'Tengo la placa b450m ds3h , es compatible ??? Vende el disipador de calor???', '9': 'Hola, quiero confirmar la compra de 3 unidades, podemos coordinar? avisame al neve sete sete ses neve cato oto tes cato. Saludos'}",980,1 TB,"NVMe 1.4,PCIe Gen3x4",Sí
Adaptador Tipo C A Hdmi Hd 4k 60hz Thunderbolt 3 Mac Ugreen,https://articulo.mercadolibre.com.pe/MPE-605478460-adaptador-tipo-c-a-hdmi-hd-4k-60hz-thunderbolt-3-mac-ugreen-_JM,105.0,Nuevo,,"Lince, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.",#605478460,,"{'0': 'Este dispositivo sòlo es compatible con laptops mac? O tambièn laptops windows con usb c ?', '1': 'Hola, es posible que de manera urgente me lo envíe n hoy dia?', '2': 'Hola tengo un galaxy s21 ultra', '3': 'Funciona para el Lenovo idea pad ?', '4': 'Buen Día tiene disponible el producto?? Lo requiero para hoy mismo enviaria un motorizado', '5': 'Hola. Lo tienes disponible para entrega inmediata? saludos', '6': 'Buenas noches. Tengo una MacBook Pro 2018. Compatible? y cuanto cuesta delivery a Los Olivos?', '7': 'Saludos. me sirve para conectar el celular al televisor o sólo es para PC a TV?', '8': 'Gracias. ¿Pero sirve para una tablet Samsung S6?', '9': 'Disculpe. ¿Cuán largo es el cable? Y quería saber si es compatible con una tablet Samsung 6.'}",,,,
"Mochila Targus Groove, Notebook Hasta 15.4 , Negro, Nylon,",https://articulo.mercadolibre.com.pe/MPE-432695786-mochila-targus-groove-notebook-hasta-154-negro-nylon-_JM,149.0,Nuevo,,"San Miguel, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.","mañana,#432695786",,"{'0': 'Ya ok entonces que sea con envío inmediato, los pasos a seguir son dándole a comprar y ahí me sale las opciones de entrega inmediata?', '1': 'Donde están ubicados para poder ir yo mismo y pagar, quizá estánporq aquí cerca en los olivos, ya sí no por el courier y cuanto sería por el envío seria.', '2': 'Como es la compra, tiene alguna tienda para ir a recoger', '3': 'Buenos días, cuenta con stock deseo comprarlo hoy mismo.', '4': 'Hola, contará con 12 unidades? Habrá algún descuento por comprar esa cantidad con usted?', '5': 'Tienen stock y envío a provincia?', '6': 'Buenas es grande o mediano?', '7': 'Buenos días. Tendrá stock?', '8': 'Hola! Envío a la cuidad de Arequipa por favor?', '9': 'Buen día, donde hace entrega?'}",,,,
Adaptador Baseus Usb-c Hub Hdmi4k Rj45 Sd Macbook Apple 8en1,https://articulo.mercadolibre.com.pe/MPE-603150631-adaptador-baseus-usb-c-hub-hdmi4k-rj45-sd-macbook-apple-8en1-_JM,209.9,Nuevo,,"Lima, Lima Metropolitana",,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,3 meses de garantía de fábrica.","mañana,#603150631","27,% OFF","{'0': 'Hola, es compatible con Chromecast? Se puede usar para contestar smart tv a conexión gigabyte?', '1': 'Hola, tienes stock? Lo quiero para Barranca.', '2': 'Buenos días, cuentas con stock ?', '3': 'Buen día …Tiene compatibilidad con iPad Air 4ta generación? … en stock para san miguel ?', '4': 'Hola envío a San Isidro? Que precio?', '5': 'Hola, veo que el PD es de 100W, y mi mac carga con 61w. ¿No tendrá un inconveniente al ser mayor?', '6': 'Hola buenos días, tendras disponible el producto?', '7': 'Hola, es compatible con chrome cast 4ta generación?', '8': 'Hola ¿ Entregan factura?', '9': 'Hola, disculpa, sabes si es compatible con la samsung galaxy tab S7 plus?'}",,,,
Adaptador Ugreen 7 En 1 Tipo C + Rj45 Usb 3.0 Hdmi 4k Sd Pd,https://articulo.mercadolibre.com.pe/MPE-606050486-adaptador-ugreen-7-en-1-tipo-c-rj45-usb-30-hdmi-4k-sd-pd-_JM,189.99,Nuevo,,"Los Olivos, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,2 meses de garantía de fábrica.",#606050486,,"{'0': 'Buenas pago contra entrega para recojo en plaza norte?', '1': 'Para el distrito de Breña se podria hacer la entrega hoy mismo? si lo compro el dia de hoy', '2': 'Vi en su publicación que puedo acceder a otro método de envío, mi pregunta es si hay disponibilidad de entrega para hoy mismo?', '3': 'Hola, hay forma de que me lo entreguen hoy mismo si hago hoy la compra?'}",,,,
Western Digital Ssd M.2 Blue Nvme 1tb Sn550 2400mb/s,https://articulo.mercadolibre.com.pe/MPE-440506319-western-digital-ssd-m2-blue-nvme-1tb-sn550-2400mbs-_JM,532.0,Nuevo,5.0,"San Isidro, Lima Metropolitana",Western Digital,WDS100T2B0C,SSD,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,5 años de garantía de fábrica.","1 TB,M.2 2280,PC,Notebook,SSD,M.2,#440506319","5,% OFF","{'0': 'Buenas tardes, tienen stock? Cuánto saldría con envío a Trujillo?', '1': 'Se puede comprar e ir a recoger hoy ?', '2': 'Si compro ya, me llega hoy a San Luis, Lima? podemos coordinar para que me llegue hoy?', '3': 'Hola, buenas noches, tiene stock disponible? Realiza envío a provincia? Soy de Chachapoyas-Amazonas', '4': 'Excelente! Muchas gracias', '5': 'Gracias por contestar, y más o menos por qué parte de San Isidro se encuentran?', '6': 'Amigo, buen día. Cuentas con stock? Gracias', '7': 'hace envios a provincia de huancavelica ?', '8': 'ok lo veo factible, si lo compro hoy cuando me estaría llegando ?', '9': 'hola buenos días, me interesa mucho el producto, lo pueden enviar a domicilio, exactamente en Ñaña antes de chaclacayo, de ser factible cuanto me costaría el envio. gracias'}",BLUE,1 TB,80 mm,Sí
Cable Impresora Usb C A Usb Tipo B 2.0 Macbook Laptop Ugreen,https://articulo.mercadolibre.com.pe/MPE-602624910-cable-impresora-usb-c-a-usb-tipo-b-20-macbook-laptop-ugreen-_JM,39.99,Nuevo,,"Lince, Lima Metropolitana",,,,"Envío a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,30 días de garantía de fábrica.",#602624910,,"{'0': 'Cual seria el costo de envio con entrega mañana viernes?', '1': 'Lo pueden entregar mañana viernes?', '2': 'Buenas tardes, tendrá aún en stock el producto?', '3': 'Buenas tardes! Sigue teniendo en stock el producto', '4': 'Buenos días ... como es la garantía, las formas de envío .. y para cuando estaría llegando a mi domicilio, vivo en Comas ...', '5': 'Hola, se puede comprar en su tienda fisica tambien? muchas gracias', '6': 'Buenos días. En cuanto tiempo hace la entrega? Gracias', '7': 'Dirección de su tienda porfavor', '8': 'Buenas tardes estoy buscando un adaptador de celular a impresora para poder realizar facturas electronicas', '9': 'Tienen delivery a la Molina?'}",,,,
Ugreen Adaptador 5 En 1 Tipo C+ Ethernet Hdmi Hub Usb 3.0 Pd,https://articulo.mercadolibre.com.pe/MPE-601261158-ugreen-adaptador-5-en-1-tipo-c-ethernet-hdmi-hub-usb-30-pd-_JM,170.99,Nuevo,,"Los Olivos, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#601261158,,"{'0': 'Hola tiene en stock? Para envío a Monterrico Surco hoy', '1': 'Hola, tiene stock ... Delivery para Santa Anita ...??', '2': 'Entiendo, gracias. Yo quiero con ustedes por Olva por favor.', '3': 'Hola, cuánto cuesta el envío a la ciudad de Cusco?', '4': 'Buenos días, es compatible con una ZenBook 13 de Asus?', '5': 'Funciona con Android?', '6': 'Magdalena', '7': 'hola, hacen envíos express con rappi o glovo para el mismo día ?', '8': 'Buenas tardes aceptas tarjeta de credito', '9': 'Hola, tienen este producto disponible? Para cuándo lo pueden enviar, lo quiero en Miraflores'}",,,,
Adaptador Hub Vako 11en1 Usb C Dual Hdmi 4k Port Red Macbook,https://articulo.mercadolibre.com.pe/MPE-445892712-adaptador-hub-vako-11en1-usb-c-dual-hdmi-4k-port-red-macbook-_JM,169.0,Nuevo,,"La Molina, Lima Metropolitana",,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.",#445892712,,"{'0': 'Hola tienes en stock para comprarlo ahora mismo', '1': 'Es compatible para una laptop Asus ? O solo para MacBook ?', '2': 'Hay alguna manera de ver el catálogo y hacer las compras masivas, no se si tiene todo lo que busco para una MacBook Air M1', '3': 'Buenos días, me gustaría hacer compra de varios accesorios para MacBook Air m1, tendrá tmb case, funda, funda de teclado, etc? Así se envía en un solo paquete.', '4': 'Es compatible con tablet Lenovo tab 11 confirmar por favor', '5': 'Hola tienen disponibilidad de stock? Y cuanto garantía tiene el producto?', '6': 'Estimados lo podrían entregar hoy día? Estoy interesado', '7': 'Listo ahora lo compro entonces', '8': 'Es compatible con mi mackbook pro m1 cierto ?', '9': 'Aún está en stock? Para la ciudad de huancayo saludos'}",,,,
